1,Easy on Me,Adele,1,Columbia Records,"Boston, MA (Manchester, NH)",44.7M

2,Stay,"The Kid LAROI, Justin Bieber",15,Columbia Records,"Pittsburgh, PA",16.9M

3,Industry Baby,"Lil Nas X, Jack Harlow",13,Columbia Records,"Pittsburgh, PA",17.5M

4,Fancy Like,Walker Hayes,18,Monument,"Pittsburgh, PA",13.7M

5,Way 2 Sexy,"Drake feat. Future, Young Thug",7,Republic/Cash Money,"Miami-Fort Lauderdale, FL",15.9M

6,Bubbly,"Young Thug feat. Drake, Travis Scott",1,300 Entertainment,"Memphis, TN",15.2M

7,Knife Talk,"Drake feat. 21 Savage, Project Pat",7,Republic/Cash Money,"Memphis, TN",15.9M

8,Heat Waves,Glass Animals,39,Republic,"Minneapolis-St. Paul, MN",13.1M

9,Who Want Smoke?,"Nardo Wick feat. G Herbo, Lil Durk, 21 Savage",2,,"Chicago, IL",13.3M

10,Shivers,Ed Sheeran,6,Atlantic Records,"Boston, MA (Manchester, NH)",10.6M

11,Bad Habits,Ed Sheeran,17,Atlantic Records,"Boston, MA (Manchester, NH)",9.9M

12,Need To Know,Doja Cat,19,RCA,"Pittsburgh, PA",11M

13,Love Nwantiti (Ah Ah Ah),CKay,5,Island,"Puerto Rico, PR",10.6M

14,Pissed Me Off,Lil Durk,1,,"New Orleans, LA",10.6M

15,Happier Than Ever,Billie Eilish,12,Interscope,"Boston, MA (Manchester, NH)",10.3M

16,My Universe,"Coldplay, BTS",4,Parlophone,"Juneau, AK",6.9M

17,good 4 u,Olivia Rodrigo,23,Interscope,"Boston, MA (Manchester, NH)",9.6M

18,Levitating,Dua Lipa feat. DaBaby,54,Warner Bros.,"Boston, MA (Manchester, NH)",8.7M

19,Girls Want Girls,Drake feat. Lil Baby,7,Republic/Cash Money,"Atlanta, GA",9.4M

20,Meet Me At Our Spot,"The Anxiety, Willow, Tyler Cole",7,UMG,"Pittsburgh, PA",8.9M

21,Fair Trade,Drake feat. Travis Scott,7,Republic/Cash Money,"Houston, TX",8.9M

22,Cold Heart,"Elton John, Dua Lipa, PNAU",5,,"Boston, MA (Manchester, NH)",7.2M

23,Kiss Me More,Doja Cat feat. SZA,28,RCA,"New York, NY",8.8M

24,Chasing After You,"Ryan Hurd, Maren Morris",23,Arista Nashville,"Nashville, TN",8.1M

25,Better Days,"NEIKED, Mae Muller, Polo G",1,Capitol,"Minot-Bismarck-Dickinson(Williston), ND",8.6M

26,Thats What I Want,Lil Nas X,5,Columbia Records,"Columbus, OH",7.8M

27,traitor,Olivia Rodrigo,22,Interscope,"Pittsburgh, PA",7.5M

28,Save Your Tears,"Ariana Grande, The Weeknd",43,Republic,Honolulu,7.4M

